,Date,Model,Count,Normalized Count,day,month,year
358,967,113,9,-0.27832604398990807,28,8,2016
359,967,25,2,-0.30054385580762594,28,8,2016
360,967,87,13,-0.2656301515226407,28,8,2016
361,967,115,10,-0.27515207087309124,28,8,2016
362,967,64,1,-0.30371782892444277,28,8,2016
363,967,89,73,-0.07519176451363038,28,8,2016
364,967,95,13,-0.2656301515226407,28,8,2016
365,967,35,187,0.2866411708034892,28,8,2016
366,967,122,1,-0.30371782892444277,28,8,2016
367,967,97,1,-0.30371782892444277,28,8,2016
368,967,68,4,-0.2941959095739923,28,8,2016
369,966,65,1,-0.30371782892444277,27,8,2016
370,966,110,5,-0.2910219364571754,27,8,2016
371,966,18,1,-0.30371782892444277,27,8,2016
372,966,101,137,0.1279425149626473,27,8,2016
373,966,59,8,-0.2815000171067249,27,8,2016
374,966,39,3,-0.2973698826908091,27,8,2016
375,966,61,40,-0.17993287736858607,27,8,2016
376,966,100,100,0.010505509640424262,27,8,2016
377,966,24,3,-0.2973698826908091,27,8,2016
378,966,41,11,-0.27197809775627435,27,8,2016
379,966,36,47,-0.1577150655508682,27,8,2016
380,966,46,2,-0.30054385580762594,27,8,2016
381,966,107,229,0.4199480417097965,27,8,2016
382,966,55,1,-0.30371782892444277,27,8,2016
383,966,25,4,-0.2941959095739923,27,8,2016
384,966,12,118,0.06763702574312735,27,8,2016
385,966,112,3,-0.2973698826908091,27,8,2016
386,966,1,61,-0.11327944191543245,27,8,2016
387,966,89,80,-0.05297395269591251,27,8,2016
388,966,40,290,0.6135604018356237,27,8,2016
389,966,81,83,-0.04345203334546199,27,8,2016
390,966,98,4,-0.2941959095739923,27,8,2016
391,966,120,12,-0.2688041246394575,27,8,2016
392,966,70,20,-0.24341233970492282,27,8,2016
393,966,34,18,-0.2497602859385565,27,8,2016
394,966,96,37,-0.18945479671903656,27,8,2016
395,966,105,3,-0.2973698826908091,27,8,2016
396,966,87,29,-0.2148465816535713,27,8,2016
397,966,95,22,-0.23706439347128916,27,8,2016
398,966,51,28,-0.21802055477038812,27,8,2016
399,966,32,15,-0.25928220528900703,27,8,2016
400,966,85,3,-0.2973698826908091,27,8,2016
401,966,20,9,-0.27832604398990807,27,8,2016
402,966,115,9,-0.27832604398990807,27,8,2016
403,966,11,10,-0.27515207087309124,27,8,2016
404,966,118,1,-0.30371782892444277,27,8,2016
405,966,47,1,-0.30371782892444277,27,8,2016
406,966,60,248,0.48025353092931644,27,8,2016
407,966,10,10,-0.27515207087309124,27,8,2016
408,966,30,1,-0.30371782892444277,27,8,2016
409,966,90,1,-0.30371782892444277,27,8,2016
410,966,42,216,0.37868639119117753,27,8,2016
411,966,86,27,-0.22119452788720495,27,8,2016
412,966,56,1,-0.30371782892444277,27,8,2016
413,966,35,199,0.3247288482052913,27,8,2016
414,966,77,4,-0.2941959095739923,27,8,2016
415,966,7,1,-0.30371782892444277,27,8,2016
416,966,37,2744,8.402490430504146,27,8,2016
417,966,68,5,-0.2910219364571754,27,8,2016
418,966,64,1,-0.30371782892444277,27,8,2016
419,966,113,8,-0.2815000171067249,27,8,2016
420,966,92,5,-0.2910219364571754,27,8,2016
421,966,48,37,-0.18945479671903656,27,8,2016
422,966,116,1,-0.30371782892444277,27,8,2016
423,966,109,2,-0.30054385580762594,27,8,2016
424,966,84,10,-0.27515207087309124,27,8,2016
425,966,29,1,-0.30371782892444277,27,8,2016
426,966,88,71,-0.08153971074726406,27,8,2016
427,966,102,73,-0.07519176451363038,27,8,2016
428,966,33,672,1.8260181324596558,27,8,2016
429,966,93,1,-0.30371782892444277,27,8,2016
430,966,106,37,-0.18945479671903656,27,8,2016
431,966,114,31,-0.2084986354199376,27,8,2016
432,966,99,1,-0.30371782892444277,27,8,2016
433,966,72,6,-0.28784796334035856,27,8,2016
434,966,27,26,-0.2243685010040218,27,8,2016
435,966,9,5,-0.2910219364571754,27,8,2016
436,966,62,60,-0.11645341503224929,27,8,2016
437,966,117,6,-0.28784796334035856,27,8,2016
438,966,22,1,-0.30371782892444277,27,8,2016
439,966,108,2,-0.30054385580762594,27,8,2016
440,966,83,1,-0.30371782892444277,27,8,2016
441,966,66,2,-0.30054385580762594,27,8,2016
442,966,45,960,2.7401223901029055,27,8,2016
443,966,38,441,1.0928303424749664,27,8,2016
444,966,4,4,-0.2941959095739923,27,8,2016
445,966,94,7,-0.28467399022354173,27,8,2016
446,966,44,672,1.8260181324596558,27,8,2016
447,966,52,26,-0.2243685010040218,27,8,2016
448,966,119,2,-0.30054385580762594,27,8,2016
449,966,78,1,-0.30371782892444277,27,8,2016
450,966,43,637,1.7149290733710665,27,8,2016
451,966,103,180,0.26442335898577135,27,8,2016
452,966,74,9,-0.27832604398990807,27,8,2016
453,966,15,25,-0.22754247412083864,27,8,2016
454,966,50,4,-0.2941959095739923,27,8,2016
455,966,2,49,-0.1513671193172345,27,8,2016
456,966,19,4,-0.2941959095739923,27,8,2016
457,966,91,1,-0.30371782892444277,27,8,2016
458,966,123,3,-0.2973698826908091,27,8,2016
459,965,20,8,-0.2815000171067249,26,8,2016
460,965,83,3,-0.2973698826908091,26,8,2016
461,965,102,73,-0.07519176451363038,26,8,2016
462,965,118,4,-0.2941959095739923,26,8,2016
463,965,33,527,1.3657920305212143,26,8,2016
464,965,66,3,-0.2973698826908091,26,8,2016
465,965,108,1,-0.30371782892444277,26,8,2016
466,965,60,248,0.48025353092931644,26,8,2016
467,965,10,3,-0.2973698826908091,26,8,2016
468,965,78,4,-0.2941959095739923,26,8,2016
469,965,106,53,-0.13867122684996716,26,8,2016
470,965,70,15,-0.25928220528900703,26,8,2016
471,965,123,1,-0.30371782892444277,26,8,2016
472,965,18,1,-0.30371782892444277,26,8,2016
473,965,72,7,-0.28467399022354173,26,8,2016
474,965,43,1079,3.1178251910041093,26,8,2016
475,965,9,8,-0.2815000171067249,26,8,2016
476,965,105,4,-0.2941959095739923,26,8,2016
477,965,96,32,-0.20532466230312077,26,8,2016
478,965,34,21,-0.240238366588106,26,8,2016
479,965,62,67,-0.09423560321453141,26,8,2016
480,965,119,2,-0.30054385580762594,26,8,2016
481,965,26,1,-0.30371782892444277,26,8,2016
482,965,77,1,-0.30371782892444277,26,8,2016
483,965,4,1,-0.30371782892444277,26,8,2016
484,965,103,171,0.2358576009344198,26,8,2016
485,965,122,1,-0.30371782892444277,26,8,2016
486,965,82,1,-0.30371782892444277,26,8,2016
487,965,2,32,-0.20532466230312077,26,8,2016
488,965,84,6,-0.28784796334035856,26,8,2016
489,965,73,1,-0.30371782892444277,26,8,2016
490,965,114,23,-0.23389042035447233,26,8,2016
491,965,47,1,-0.30371782892444277,26,8,2016
492,965,121,1,-0.30371782892444277,26,8,2016
493,965,48,41,-0.1767589042517692,26,8,2016
494,965,93,1,-0.30371782892444277,26,8,2016
495,965,94,7,-0.28467399022354173,26,8,2016
496,965,24,1,-0.30371782892444277,26,8,2016
497,965,64,3,-0.2973698826908091,26,8,2016
498,965,32,15,-0.25928220528900703,26,8,2016
499,965,15,25,-0.22754247412083864,26,8,2016
500,965,88,64,-0.10375752256498193,26,8,2016
501,965,56,2,-0.30054385580762594,26,8,2016
502,965,110,2,-0.30054385580762594,26,8,2016
503,965,50,2,-0.30054385580762594,26,8,2016
504,965,52,41,-0.1767589042517692,26,8,2016
505,965,25,3,-0.2973698826908091,26,8,2016
506,965,42,288,0.60721245560199,26,8,2016
507,965,81,83,-0.04345203334546199,26,8,2016
508,965,100,75,-0.06884381827999671,26,8,2016
509,965,36,55,-0.13232328061633347,26,8,2016
510,965,45,870,2.45446480958939,26,8,2016
511,965,117,9,-0.27832604398990807,26,8,2016
512,965,51,34,-0.19897671606948708,26,8,2016
513,965,95,27,-0.22119452788720495,26,8,2016
514,965,59,7,-0.28467399022354173,26,8,2016
515,965,115,12,-0.2688041246394575,26,8,2016
516,965,7,2,-0.30054385580762594,26,8,2016
517,965,37,2280,6.9297669043011325,26,8,2016
518,965,99,4,-0.2941959095739923,26,8,2016
519,965,38,243,0.46438366534523223,26,8,2016
520,965,91,4,-0.2941959095739923,26,8,2016
521,965,71,2,-0.30054385580762594,26,8,2016
522,965,19,3,-0.2973698826908091,26,8,2016
523,965,92,10,-0.27515207087309124,26,8,2016
524,965,30,1,-0.30371782892444277,26,8,2016
525,965,101,138,0.13111648807946413,26,8,2016
526,965,89,63,-0.10693149568179877,26,8,2016
527,965,68,6,-0.28784796334035856,26,8,2016
528,965,57,3,-0.2973698826908091,26,8,2016
529,965,40,340,0.7722590576764656,26,8,2016
530,965,44,560,1.4705331433761701,26,8,2016
531,965,85,5,-0.2910219364571754,26,8,2016
532,965,65,2,-0.30054385580762594,26,8,2016
533,965,27,23,-0.23389042035447233,26,8,2016
534,965,86,30,-0.21167260853675443,26,8,2016
535,965,74,12,-0.2688041246394575,26,8,2016
536,965,90,4,-0.2941959095739923,26,8,2016
537,965,87,21,-0.240238366588106,26,8,2016
538,965,120,26,-0.2243685010040218,26,8,2016
539,965,11,10,-0.27515207087309124,26,8,2016
540,965,107,170,0.23268362781760296,26,8,2016
541,965,112,5,-0.2910219364571754,26,8,2016
542,965,35,212,0.3659904987239102,26,8,2016
543,965,12,122,0.0803329182103947,26,8,2016
544,965,39,1,-0.30371782892444277,26,8,2016
545,965,116,2,-0.30054385580762594,26,8,2016
546,965,113,13,-0.2656301515226407,26,8,2016
547,965,61,47,-0.1577150655508682,26,8,2016
548,965,98,6,-0.28784796334035856,26,8,2016
549,965,109,1,-0.30371782892444277,26,8,2016
550,965,1,44,-0.1672369849013187,26,8,2016
551,965,55,1,-0.30371782892444277,26,8,2016
552,965,41,33,-0.20215068918630394,26,8,2016
553,964,66,4,-0.2941959095739923,25,8,2016
554,964,102,86,-0.03393011399501148,25,8,2016
555,964,51,42,-0.17358493113495238,25,8,2016
556,964,52,32,-0.20532466230312077,25,8,2016
557,964,119,2,-0.30054385580762594,25,8,2016
